CA_name,YYYYQ_DOC,Mort_Amt
Bridgeport            ,20063,200000.0
Bridgeport            ,20064,184750.0
Bridgeport            ,20071,199250.0
Bridgeport            ,20072,235000.0
Bridgeport            ,20073,180000.0
Bridgeport            ,20074,183750.0
Bridgeport            ,20081,224750.0
Bridgeport            ,20082,220375.0
Bridgeport            ,20083,200000.0
Bridgeport            ,20084,226000.0
Bridgeport            ,20091,236000.0
Bridgeport            ,20092,200000.0
Bridgeport            ,20093,217900.0
Bridgeport            ,20094,250000.0
Bridgeport            ,20101,200000.0
Bridgeport            ,20102,189000.0
Bridgeport            ,20103,212000.0
Bridgeport            ,20104,218029.5
Bridgeport            ,20111,168000.0
Bridgeport            ,20112,164000.0
Bridgeport            ,20113,197928.0
Bridgeport            ,20114,171200.0
Bridgeport            ,20121,191200.0
Bridgeport            ,20122,204250.0
Bridgeport            ,20123,226700.0
Bridgeport            ,20124,209151.0
Brighton Park         ,20051,139500.0
Brighton Park         ,20052,139300.0
Brighton Park         ,20053,135500.0
Brighton Park         ,20054,134000.0
Brighton Park         ,20061,141027.565
Brighton Park         ,20062,138000.0
Brighton Park         ,20063,136750.0
Brighton Park         ,20064,134700.0
Brighton Park         ,20071,147500.0
Brighton Park         ,20072,154000.0
Brighton Park         ,20073,151571.19
Brighton Park         ,20074,145000.0
Brighton Park         ,20081,160185.0
Brighton Park         ,20082,165000.0
Brighton Park         ,20083,134482.5
Brighton Park         ,20084,131750.0
Brighton Park         ,20091,142750.0
Brighton Park         ,20092,133200.0
Brighton Park         ,20093,122500.0
Brighton Park         ,20094,155000.0
Brighton Park         ,20101,94400.0
Brighton Park         ,20102,119500.0
Brighton Park         ,20103,100000.0
Brighton Park         ,20104,103000.0
Brighton Park         ,20111,100000.0
Brighton Park         ,20112,109344.0
Brighton Park         ,20113,98814.0
Brighton Park         ,20114,97000.0
Brighton Park         ,20121,80697.5
Brighton Park         ,20122,104500.0
Brighton Park         ,20123,100000.0
Brighton Park         ,20124,96626.0
Burnside              ,20051,95000.0
Burnside              ,20052,91300.0
Burnside              ,20053,108350.0
Burnside              ,20054,100000.0
Burnside              ,20061,108000.0
Burnside              ,20062,116500.0
Burnside              ,20063,98000.0
Burnside              ,20064,126000.0
Burnside              ,20071,156250.0
Burnside              ,20072,124687.5
Burnside              ,20073,93200.0
Burnside              ,20074,120750.0
Burnside              ,20081,149425.0
Burnside              ,20082,116000.0
Burnside              ,20083,149579.0
Burnside              ,20084,154000.0
Burnside              ,20091,140409.0
Burnside              ,20092,232500.0
Burnside              ,20093,184496.0
Burnside              ,20094,112161.0
Burnside              ,20101,115230.0
Burnside              ,20102,92085.0
Burnside              ,20103,106363.5
Burnside              ,20104,118218.0
Burnside              ,20111,142490.5
Burnside              ,20112,100000.0
Burnside              ,20113,88369.5
Burnside              ,20114,80345.5
Burnside              ,20121,114034.0
Burnside              ,20122,127500.0
