CA_name,YYYYQ_DOC,YYYYQ_DOC
Chicago Lawn          ,20081,282
Chicago Lawn          ,20082,235
Chicago Lawn          ,20083,171
Chicago Lawn          ,20084,166
Chicago Lawn          ,20091,121
Chicago Lawn          ,20092,139
Chicago Lawn          ,20093,142
Chicago Lawn          ,20094,127
Chicago Lawn          ,20101,109
Chicago Lawn          ,20102,78
Chicago Lawn          ,20103,86
Chicago Lawn          ,20104,101
Chicago Lawn          ,20111,67
Chicago Lawn          ,20112,98
Chicago Lawn          ,20113,74
Chicago Lawn          ,20114,69
Chicago Lawn          ,20121,85
Chicago Lawn          ,20122,105
Chicago Lawn          ,20123,93
Chicago Lawn          ,20124,98
Clearing              ,20051,363
Clearing              ,20052,519
Clearing              ,20053,496
Clearing              ,20054,473
Clearing              ,20061,371
Clearing              ,20062,456
Clearing              ,20063,384
Clearing              ,20064,265
Clearing              ,20071,327
Clearing              ,20072,332
Clearing              ,20073,298
Clearing              ,20074,223
Clearing              ,20081,239
Clearing              ,20082,203
Clearing              ,20083,135
Clearing              ,20084,114
Clearing              ,20091,169
Clearing              ,20092,211
Clearing              ,20093,175
Clearing              ,20094,152
Clearing              ,20101,128
Clearing              ,20102,138
Clearing              ,20103,147
Clearing              ,20104,141
Clearing              ,20111,108
Clearing              ,20112,106
Clearing              ,20113,110
Clearing              ,20114,142
Clearing              ,20121,108
Clearing              ,20122,132
Clearing              ,20123,153
Clearing              ,20124,202
Douglas               ,20051,51
Douglas               ,20052,80
Douglas               ,20053,61
Douglas               ,20054,59
Douglas               ,20061,40
Douglas               ,20062,59
Douglas               ,20063,61
Douglas               ,20064,38
Douglas               ,20071,35
Douglas               ,20072,40
Douglas               ,20073,21
Douglas               ,20074,40
Douglas               ,20081,43
Douglas               ,20082,21
Douglas               ,20083,20
Douglas               ,20084,8
Douglas               ,20091,24
Douglas               ,20092,21
Douglas               ,20093,9
Douglas               ,20094,25
Douglas               ,20101,9
Douglas               ,20102,10
Douglas               ,20103,18
Douglas               ,20104,16
Douglas               ,20111,14
Douglas               ,20112,4
Douglas               ,20113,17
Douglas               ,20114,19
Douglas               ,20121,7
Douglas               ,20122,21
Douglas               ,20123,16
Douglas               ,20124,14
Dunning               ,20051,708
Dunning               ,20052,936
Dunning               ,20053,960
Dunning               ,20054,844
Dunning               ,20061,710
Dunning               ,20062,824
Dunning               ,20063,761
Dunning               ,20064,758
Dunning               ,20071,635
Dunning               ,20072,663
Dunning               ,20073,508
Dunning               ,20074,462
Dunning               ,20081,452
Dunning               ,20082,420
Dunning               ,20083,221
Dunning               ,20084,178
Dunning               ,20091,290
Dunning               ,20092,322
Dunning               ,20093,273
Dunning               ,20094,258
Dunning               ,20101,204
Dunning               ,20102,236
Dunning               ,20103,282
Dunning               ,20104,297
Dunning               ,20111,229
Dunning               ,20112,197
Dunning               ,20113,215
Dunning               ,20114,269
Dunning               ,20121,267
Dunning               ,20122,282
Dunning               ,20123,309
Dunning               ,20124,350
East Garfield         ,20051,58
East Garfield         ,20052,56
East Garfield         ,20053,77
East Garfield         ,20054,73
East Garfield         ,20061,64
East Garfield         ,20062,85
East Garfield         ,20063,68
East Garfield         ,20064,70
East Garfield         ,20071,56
East Garfield         ,20072,66
East Garfield         ,20073,49
East Garfield         ,20074,44
East Garfield         ,20081,30
East Garfield         ,20082,31
East Garfield         ,20083,20
East Garfield         ,20084,20
East Garfield         ,20091,20
East Garfield         ,20092,19
East Garfield         ,20093,20
East Garfield         ,20094,12
East Garfield         ,20101,14
East Garfield         ,20102,9
East Garfield         ,20103,11
East Garfield         ,20104,16
East Garfield         ,20111,15
East Garfield         ,20112,4
East Garfield         ,20113,10
East Garfield         ,20114,9
East Garfield         ,20121,11
East Garfield         ,20122,13
East Garfield         ,20123,11
East Garfield         ,20124,14
East Side             ,20051,211
East Side             ,20052,287
East Side             ,20053,293
East Side             ,20054,277
East Side             ,20061,259
East Side             ,20062,268
East Side             ,20063,275
East Side             ,20064,287
East Side             ,20071,221
East Side             ,20072,215
East Side             ,20073,181
East Side             ,20074,159
East Side             ,20081,135
East Side             ,20082,144
East Side             ,20083,89
East Side             ,20084,92
East Side             ,20091,70
East Side             ,20092,72
East Side             ,20093,80
East Side             ,20094,93
East Side             ,20101,44
East Side             ,20102,65
East Side             ,20103,51
East Side             ,20104,69
East Side             ,20111,56
East Side             ,20112,63
East Side             ,20113,65
East Side             ,20114,54
East Side             ,20121,53
East Side             ,20122,54
East Side             ,20123,71
East Side             ,20124,67
Edgewater             ,20051,110
Edgewater             ,20052,153
Edgewater             ,20053,170
Edgewater             ,20054,134
Edgewater             ,20061,101
Edgewater             ,20062,138
Edgewater             ,20063,109
Edgewater             ,20064,122
Edgewater             ,20071,109
Edgewater             ,20072,124
Edgewater             ,20073,97
Edgewater             ,20074,88
Edgewater             ,20081,94
Edgewater             ,20082,109
Edgewater             ,20083,76
Edgewater             ,20084,60
Edgewater             ,20091,101
Edgewater             ,20092,123
Edgewater             ,20093,78
Edgewater             ,20094,63
Edgewater             ,20101,74
Edgewater             ,20102,73
Edgewater             ,20103,81
Edgewater             ,20104,133
Edgewater             ,20111,59
Edgewater             ,20112,57
Edgewater             ,20113,76
Edgewater             ,20114,114
Edgewater             ,20121,81
Edgewater             ,20122,84
Edgewater             ,20123,116
Edgewater             ,20124,103
Edison Park           ,20051,190
Edison Park           ,20052,245
Edison Park           ,20053,209
Edison Park           ,20054,208
Edison Park           ,20061,179
Edison Park           ,20062,201
Edison Park           ,20063,187
Edison Park           ,20064,170
Edison Park           ,20071,143
Edison Park           ,20072,180
Edison Park           ,20073,139
Edison Park           ,20074,151
Edison Park           ,20081,171
Edison Park           ,20082,145
Edison Park           ,20083,77
Edison Park           ,20084,94
Edison Park           ,20091,175
Edison Park           ,20092,186
Edison Park           ,20093,122
Edison Park           ,20094,141
Edison Park           ,20101,90
Edison Park           ,20102,119
Edison Park           ,20103,155
Edison Park           ,20104,177
Edison Park           ,20111,107
Edison Park           ,20112,96
Edison Park           ,20113,118
Edison Park           ,20114,183
Edison Park           ,20121,133
Edison Park           ,20122,130
Edison Park           ,20123,173
Edison Park           ,20124,163
Englewood             ,20051,205
Englewood             ,20052,216
Englewood             ,20053,238
Englewood             ,20054,226
Englewood             ,20061,263
Englewood             ,20062,196
Englewood             ,20063,223
Englewood             ,20064,132
Englewood             ,20071,186
Englewood             ,20072,156
Englewood             ,20073,144
Englewood             ,20074,139
Englewood             ,20081,88
Englewood             ,20082,91
Englewood             ,20083,59
Englewood             ,20084,64
Englewood             ,20091,48
Englewood             ,20092,50
Englewood             ,20093,44
Englewood             ,20094,24
Englewood             ,20101,37
Englewood             ,20102,16
Englewood             ,20103,14
Englewood             ,20104,22
Englewood             ,20111,12
Englewood             ,20112,17
Englewood             ,20113,22
Englewood             ,20114,12
Englewood             ,20121,9
Englewood             ,20122,9
Englewood             ,20123,27
Englewood             ,20124,15
Forest Glen           ,20051,388
Forest Glen           ,20052,472
Forest Glen           ,20053,488
Forest Glen           ,20054,339
Forest Glen           ,20061,328
Forest Glen           ,20062,397
Forest Glen           ,20063,344
Forest Glen           ,20064,389
Forest Glen           ,20071,360
Forest Glen           ,20072,348
Forest Glen           ,20073,312
Forest Glen           ,20074,253
Forest Glen           ,20081,345
Forest Glen           ,20082,297
Forest Glen           ,20083,197
Forest Glen           ,20084,172
Forest Glen           ,20091,373
Forest Glen           ,20092,389
Forest Glen           ,20093,236
Forest Glen           ,20094,264
Forest Glen           ,20101,177
Forest Glen           ,20102,210
Forest Glen           ,20103,284
Forest Glen           ,20104,367
Forest Glen           ,20111,205
Forest Glen           ,20112,172
Forest Glen           ,20113,225
Forest Glen           ,20114,327
Forest Glen           ,20121,270
Forest Glen           ,20122,276
Forest Glen           ,20123,306
Forest Glen           ,20124,341
Fuller Park           ,20051,26
Fuller Park           ,20052,19
Fuller Park           ,20053,18
Fuller Park           ,20054,24
Fuller Park           ,20061,22
Fuller Park           ,20062,30
Fuller Park           ,20063,20
Fuller Park           ,20064,26
Fuller Park           ,20071,16
Fuller Park           ,20072,18
Fuller Park           ,20073,7
Fuller Park           ,20074,13
Fuller Park           ,20081,13
Fuller Park           ,20082,10
Fuller Park           ,20083,6
Fuller Park           ,20084,5
Fuller Park           ,20091,3
Fuller Park           ,20092,14
Fuller Park           ,20093,11
Fuller Park           ,20094,5
Fuller Park           ,20101,3
Fuller Park           ,20102,5
Fuller Park           ,20103,2
Fuller Park           ,20104,1
Fuller Park           ,20112,3
Fuller Park           ,20113,1
Fuller Park           ,20114,1
Fuller Park           ,20122,3
Fuller Park           ,20123,2
Fuller Park           ,20124,1
Gage Park             ,20051,398
Gage Park             ,20052,493
Gage Park             ,20053,511
Gage Park             ,20054,514
Gage Park             ,20061,375
Gage Park             ,20062,432
Gage Park             ,20063,402
Gage Park             ,20064,339
Gage Park             ,20071,286
Gage Park             ,20072,309
Gage Park             ,20073,257
Gage Park             ,20074,225
Gage Park             ,20081,168
Gage Park             ,20082,179
Gage Park             ,20083,91
Gage Park             ,20084,76
Gage Park             ,20091,53
Gage Park             ,20092,80
Gage Park             ,20093,94
Gage Park             ,20094,63
Gage Park             ,20101,39
Gage Park             ,20102,64
Gage Park             ,20103,64
Gage Park             ,20104,44
Gage Park             ,20111,48
Gage Park             ,20112,44
Gage Park             ,20113,44
Gage Park             ,20114,47
Gage Park             ,20121,48
Gage Park             ,20122,56
Gage Park             ,20123,49
Gage Park             ,20124,58
Garfield Ridge        ,20051,603
Garfield Ridge        ,20052,856
Garfield Ridge        ,20053,855
Garfield Ridge        ,20054,742
Garfield Ridge        ,20061,601
Garfield Ridge        ,20062,705
Garfield Ridge        ,20063,636
Garfield Ridge        ,20064,546
Garfield Ridge        ,20071,506
Garfield Ridge        ,20072,581
Garfield Ridge        ,20073,468
Garfield Ridge        ,20074,415
Garfield Ridge        ,20081,397
Garfield Ridge        ,20082,369
Garfield Ridge        ,20083,230
Garfield Ridge        ,20084,204
