CA_name,PTYPE2011,bldg_assmt_11_psf
Near South Side                         ,2-6 UNIT,5.879977460555973
Near South Side                         ,7+ UNIT,inf
Near South Side                         ,COMM/IND,inf
Near South Side                         ,CONDO,inf
Near South Side                         ,NON PROFIT,inf
Near South Side                         ,SINGLE FAMILY,24.510149572649574
Near South Side                         ,TOWN HOUSE,21.72963741460851
Near South Side                         ,VACANT LAND,inf
Near West Side                          ,2-6 UNIT,12.06006068779501
Near West Side                          ,7+ UNIT,inf
Near West Side                          ,COMM/IND,inf
Near West Side                          ,CONDO,inf
Near West Side                          ,NON PROFIT,inf
Near West Side                          ,SINGLE FAMILY,13.31992457573853
Near West Side                          ,TOWN HOUSE,21.101703505930757
Near West Side                          ,VACANT LAND,inf
New City                                ,2-6 UNIT,6.747012138495782
New City                                ,7+ UNIT,inf
New City                                ,COMM/IND,inf
New City                                ,CONDO,inf
New City                                ,NON PROFIT,inf
New City                                ,SINGLE FAMILY,9.805681818181819
New City                                ,TOWN HOUSE,12.646443514644352
New City                                ,VACANT LAND,
North Center                            ,2-6 UNIT,15.058828545971402
North Center                            ,7+ UNIT,inf
North Center                            ,COMM/IND,inf
North Center                            ,CONDO,inf
North Center                            ,NON PROFIT,inf
North Center                            ,SINGLE FAMILY,27.08862433862434
North Center                            ,TOWN HOUSE,25.239666681641282
North Center                            ,VACANT LAND,23.79416315028091
North Cook                              ,2-6 UNIT,10.609946075494308
North Cook                              ,7+ UNIT,inf
North Cook                              ,COMM/IND,inf
North Cook                              ,CONDO,inf
North Cook                              ,NON PROFIT,inf
North Cook                              ,SINGLE FAMILY,18.0901803213726
North Cook                              ,TOWN HOUSE,15.390847711927982
North Cook                              ,VACANT LAND,16.36932001289075
North Lawndale                          ,2-6 UNIT,6.914225941422594
North Lawndale                          ,7+ UNIT,inf
North Lawndale                          ,COMM/IND,inf
North Lawndale                          ,CONDO,inf
North Lawndale                          ,SINGLE FAMILY,8.865913653423473
North Lawndale                          ,TOWN HOUSE,6.383846153846154
North Lawndale                          ,VACANT LAND,inf
North Park                              ,2-6 UNIT,12.228228228228229
North Park                              ,7+ UNIT,inf
North Park                              ,COMM/IND,inf
North Park                              ,CONDO,inf
North Park                              ,SINGLE FAMILY,19.268664563617246
North Park                              ,TOWN HOUSE,18.055803571428573
North Park                              ,VACANT LAND,
Northwest Cook                          ,2-6 UNIT,8.099789029535865
Northwest Cook                          ,7+ UNIT,inf
Northwest Cook                          ,COMM/IND,inf
Northwest Cook                          ,CONDO,inf
Northwest Cook                          ,NON PROFIT,inf
Northwest Cook                          ,SINGLE FAMILY,14.776918500892325
Northwest Cook                          ,TOWN HOUSE,11.101973684210526
Northwest Cook                          ,VACANT LAND,11.853009811223696
Norwood Park                            ,2-6 UNIT,13.081892247639797
Norwood Park                            ,7+ UNIT,inf
Norwood Park                            ,COMM/IND,inf
Norwood Park                            ,CONDO,inf
Norwood Park                            ,NON PROFIT,inf
Norwood Park                            ,SINGLE FAMILY,19.375067838752017
Norwood Park                            ,TOWN HOUSE,19.90579121742112
Norwood Park                            ,VACANT LAND,inf
O'Hare                                  ,2-6 UNIT,11.58882891340061
O'Hare                                  ,7+ UNIT,inf
O'Hare                                  ,COMM/IND,inf
O'Hare                                  ,CONDO,inf
O'Hare                                  ,NON PROFIT,
O'Hare                                  ,SINGLE FAMILY,20.025950512975257
O'Hare                                  ,TOWN HOUSE,19.021617852161786
O'Hare                                  ,VACANT LAND,24.047764849969383
Oakland                                 ,2-6 UNIT,5.308117676247186
Oakland                                 ,7+ UNIT,inf
Oakland                                 ,COMM/IND,inf
Oakland                                 ,CONDO,inf
Oakland                                 ,NON PROFIT,inf
Oakland                                 ,SINGLE FAMILY,10.994277539341917
Oakland                                 ,TOWN HOUSE,13.407391673746814
Oakland                                 ,VACANT LAND,
Portage Park                            ,2-6 UNIT,13.123774394899339
Portage Park                            ,7+ UNIT,inf
Portage Park                            ,COMM/IND,inf
Portage Park                            ,CONDO,inf
Portage Park                            ,NON PROFIT,inf
Portage Park                            ,SINGLE FAMILY,18.49056603773585
Portage Park                            ,TOWN HOUSE,17.9862012987013
Portage Park                            ,VACANT LAND,16.16202203499676
Pullman                                 ,2-6 UNIT,5.141960405601159
Pullman                                 ,7+ UNIT,inf
Pullman                                 ,COMM/IND,inf
Pullman                                 ,SINGLE FAMILY,7.6443014705882355
Pullman                                 ,TOWN HOUSE,4.833673469387755
Pullman                                 ,VACANT LAND,inf
Riverdale                               ,2-6 UNIT,4.648819561551433
Riverdale                               ,7+ UNIT,inf
Riverdale                               ,COMM/IND,inf
Riverdale                               ,SINGLE FAMILY,5.429753958481844
Riverdale                               ,TOWN HOUSE,7.549931600547196
Riverdale                               ,VACANT LAND,
Rogers Park                             ,2-6 UNIT,8.269755747126437
Rogers Park                             ,7+ UNIT,inf
Rogers Park                             ,COMM/IND,inf
Rogers Park                             ,CONDO,inf
Rogers Park                             ,SINGLE FAMILY,14.792755806044116
Rogers Park                             ,TOWN HOUSE,11.380614657210401
Rogers Park                             ,VACANT LAND,
Roseland                                ,2-6 UNIT,5.604457311842522
Roseland                                ,7+ UNIT,inf
Roseland                                ,COMM/IND,inf
Roseland                                ,CONDO,inf
Roseland                                ,NON PROFIT,inf
Roseland                                ,SINGLE FAMILY,8.060647782169521
Roseland                                ,TOWN HOUSE,8.174533479692645
Roseland                                ,VACANT LAND,inf
South Chicago                           ,2-6 UNIT,6.017630398418492
South Chicago                           ,7+ UNIT,inf
South Chicago                           ,COMM/IND,inf
South Chicago                           ,CONDO,inf
South Chicago                           ,NON PROFIT,inf
South Chicago                           ,SINGLE FAMILY,7.847387173396674
